,TimeStep,Vehicle_ID,_X,_Y,_Angle,_Pos,_Speed,_Lane,_Slope
0,0.00,0,10055.77,16858.29,166.07,5.10,0.00,288088612#0_0,0.00
1,1.00,0,10056.35,16855.95,166.07,7.51,2.41,288088612#0_0,0.00
2,1.00,1,7268.33,13378.84,232.86,5.10,0.00,-347355524#0_0,0.00
3,2.00,0,10057.28,16852.19,166.07,11.39,3.87,288088612#0_0,0.00
4,2.00,1,7266.77,13377.66,232.86,7.06,1.96,-347355524#0_0,0.00
5,2.00,2,465.57,9993.49,53.04,5.10,0.00,347355524#0_0,0.00
6,3.00,0,10058.80,16846.07,166.07,17.69,6.30,288088612#0_0,0.00
7,3.00,1,7263.23,13374.97,232.86,11.50,4.44,-347355524#0_0,0.00
8,3.00,2,467.00,9994.18,57.87,6.68,1.58,347355524#0_0,0.00
9,3.00,3,7069.56,14060.94,162.40,5.10,0.00,602247752_0,0.00
10,4.00,0,10060.83,16837.90,166.07,26.11,8.43,288088612#0_0,0.00
11,4.00,1,7258.59,13371.46,232.86,17.33,5.83,-347355524#0_0,0.00
12,4.00,2,470.56,9995.90,64.22,10.64,3.96,347355524#0_0,0.00
13,4.00,3,7069.59,14058.82,179.39,7.22,2.12,602247752_0,0.00
14,4.00,4,15238.81,15285.94,272.09,5.10,0.00,-803864266_0,0.00
15,5.00,0,10063.29,16827.98,166.07,36.33,10.22,288088612#0_0,0.00
16,5.00,1,7252.04,13366.50,232.86,25.54,8.21,-347355524#0_0,0.00
17,5.00,2,475.57,9998.32,64.22,16.20,5.57,347355524#0_0,0.00
18,5.00,3,7069.74,14054.28,178.12,11.77,4.55,602247752_0,0.00
19,5.00,4,15237.06,15286.00,272.09,6.85,1.75,-803864266_0,0.00
20,5.00,5,13629.08,5.33,337.64,5.10,0.00,-288088612#6_0,0.00
21,6.00,0,10066.36,16815.58,166.07,49.10,12.77,288088612#0_0,0.00
22,6.00,1,7244.35,13360.67,232.86,35.19,9.65,-347355524#0_0,0.00
23,6.00,2,482.61,10001.72,64.22,24.02,7.82,347355524#0_0,0.00
24,6.00,3,7069.98,14047.90,177.86,18.15,6.38,602247752_0,0.00
25,6.00,4,15233.41,15286.13,272.09,10.51,3.66,-803864266_0,0.00
26,6.00,5,13628.13,7.63,337.64,7.59,2.49,-288088612#6_0,0.00
27,6.00,6,20875.57,19636.94,226.95,5.10,0.00,-1002123620#6_0,0.00
28,7.00,0,10069.90,16801.33,166.07,63.78,14.68,288088612#0_0,0.00
29,7.00,1,7235.54,13354.00,232.86,46.24,11.06,-347355524#0_0,0.00
30,7.00,2,491.64,10006.08,64.22,34.05,10.03,347355524#0_0,0.00
31,7.00,3,7070.30,14039.42,177.86,26.64,8.49,602247752_0,0.00
32,7.00,4,15227.67,15286.34,272.09,16.25,5.75,-803864266_0,0.00
33,7.00,5,13626.47,11.66,337.64,11.95,4.36,-288088612#6_0,0.00
34,7.00,6,20874.61,19636.04,226.95,6.42,1.32,-1002123620#6_0,0.00
35,7.00,7,10545.07,12219.52,177.41,5.10,0.00,288088612#5_0,0.00
36,8.00,0,10073.82,16785.54,166.07,80.06,16.27,288088612#0_0,0.00
37,8.00,1,7225.08,13346.07,232.86,59.37,13.12,-347355524#0_0,0.00
38,8.00,2,502.60,10011.38,64.22,46.22,12.17,347355524#0_0,0.00
39,8.00,3,7070.71,14028.47,177.86,37.60,10.96,602247752_0,0.00
40,8.00,4,15220.34,15286.61,272.09,23.58,7.33,-803864266_0,0.00
41,8.00,5,13623.85,18.05,337.64,18.85,6.90,-288088612#6_0,0.00
42,8.00,6,20872.27,19633.86,226.95,9.62,3.20,-1002123620#6_0,0.00
43,8.00,7,10545.15,12217.75,177.41,6.86,1.76,288088612#5_0,0.00
