,TimeStep,Vehicle_ID,_X,_Y,_Angle,_Pos,_Speed,_Lane,_Slope
22036,477.00,15,16070.64,15292.90,270.74,294.72,19.92,347355525#1_0,0.00
22037,477.00,16,8890.39,11724.10,77.91,24.05,19.32,229938465#3_0,0.00
22038,477.00,17,9131.72,17001.83,186.55,492.48,20.04,-347355524#1_0,0.00
22039,477.00,19,10094.39,12050.76,248.34,68.38,25.23,-229938465#3_0,0.00
22040,477.00,2,8811.10,15478.03,21.36,2620.17,21.61,347355524#1_0,0.00
22041,477.00,20,10351.81,15299.11,171.23,1593.34,16.54,288088612#0_0,0.00
22042,477.00,21,10626.16,10489.35,357.18,3156.05,14.95,-288088612#5_0,0.00
22043,477.00,22,3974.61,11663.63,64.83,3891.73,20.66,347355524#0_0,0.00
22044,477.00,23,15413.30,14374.27,47.31,120.24,18.70,1002123620#1_0,0.00
22045,477.00,25,9404.69,17447.63,7.52,496.45,9.82,-803874779#0_0,0.00
22046,477.00,26,1412.69,10432.93,63.35,1049.40,19.12,347355524#0_0,0.00
22047,477.00,28,10354.84,15300.46,351.23,1010.75,18.31,-288088612#0_0,0.00
22048,477.00,29,10573.86,13871.61,0.28,830.77,15.51,-288088612#1_0,0.00
22049,477.00,3,13875.50,15948.55,118.72,54.90,23.30,-347355525#3_0,0.00
22050,477.00,30,10666.30,8665.77,181.40,3563.29,19.14,288088612#5_0,0.00
22051,477.00,31,10624.01,7812.81,183.23,4417.33,19.22,288088612#5_0,0.00
22052,477.00,32,8397.94,14636.58,32.20,1681.08,22.01,347355524#1_0,0.00
22053,477.00,33,6407.19,10302.20,319.90,152.91,25.24,288088613#2_0,0.00
22054,477.00,34,9255.52,17345.30,23.46,4564.63,21.93,347355524#1_0,0.00
22055,477.00,35,11320.72,5736.03,336.85,6183.82,12.80,-288088612#6_0,0.00
22056,477.00,36,12775.21,16409.92,109.60,724.04,21.16,-347355525#5_0,0.00
22057,477.00,37,10671.26,9472.00,358.14,2137.63,18.59,-288088612#5_0,0.00
22058,477.00,38,17078.16,14454.62,280.60,1774.56,14.71,-958984632_0,0.00
22059,477.00,39,1054.91,10269.26,66.39,655.84,19.19,347355524#0_0,0.00
22060,477.00,4,8273.41,11596.50,255.88,590.80,22.08,-229938465#2_0,0.00
22061,477.00,40,14871.62,13937.13,75.63,4647.96,22.35,229938465#5_0,0.00
22062,477.00,42,5317.33,12301.07,244.00,2240.04,23.44,-347355524#0_0,0.00
22063,477.00,43,13497.21,13529.84,69.00,3212.42,22.90,229938465#5_0,0.00
22064,477.00,45,10238.29,16015.07,352.51,1734.82,17.45,-288088612#0_0,0.00
22065,477.00,46,16171.42,15083.83,224.82,266.52,21.15,-1002123620#4_0,0.00
22066,477.00,47,2903.87,11154.11,64.61,2705.93,19.70,347355524#0_0,0.00
