,Car1,Car2,Car3,Car4,Car5,Car6,Car7,Car8,Car9
83,74.0,53.0,51.0,45.0,34.0,32.0,24.0,28.0,18.0
84,74.0,53.0,49.0,50.0,34.0,29.0,25.0,28.0,21.0
85,73.0,52.0,51.0,51.0,37.0,29.0,24.0,28.0,21.0
86,73.0,53.0,51.0,48.0,35.0,24.0,20.0,27.0,21.0
87,74.0,52.0,51.0,46.0,36.0,27.0,21.0,27.0,21.0
88,75.0,53.0,51.0,51.0,39.0,27.0,20.0,28.0,20.0
89,74.0,51.0,51.0,44.0,35.0,23.0,27.0,28.0,19.0
90,75.0,54.0,52.0,44.0,36.0,19.0,24.0,29.0,18.0
91,75.0,52.0,51.0,40.0,30.0,24.0,30.0,30.0,19.0
92,74.0,52.0,45.0,43.0,28.0,28.0,32.0,28.0,22.0
93,74.0,53.0,48.0,45.0,31.0,31.0,27.0,29.0,22.0
94,75.0,53.0,48.0,44.0,32.0,31.0,29.0,31.0,20.0
95,76.0,53.0,48.0,47.0,33.0,33.0,25.0,29.0,22.0
96,74.0,52.0,48.0,45.0,32.0,25.0,23.0,30.0,21.0
97,75.0,54.0,48.0,44.0,36.0,25.0,26.0,26.0,20.0
98,76.0,52.0,46.0,43.0,33.0,23.0,31.0,26.0,18.0
99,75.0,52.0,49.0,38.0,33.0,24.0,26.0,27.0,20.0
100,72.0,52.0,48.0,44.0,34.0,22.0,29.0,30.0,24.0
101,75.0,52.0,48.0,42.0,34.0,24.0,26.0,28.0,24.0
102,72.0,52.0,50.0,43.0,35.0,27.0,27.0,27.0,24.0
103,72.0,52.0,50.0,44.0,34.0,23.0,25.0,28.0,20.0
104,74.0,53.0,51.0,45.0,38.0,26.0,26.0,29.0,21.0
105,74.0,53.0,50.0,44.0,33.0,30.0,26.0,28.0,25.0
106,74.0,52.0,51.0,45.0,36.0,33.0,24.0,29.0,25.0
107,76.0,52.0,51.0,44.0,34.0,34.0,17.0,28.0,23.0
108,75.0,53.0,51.0,42.0,34.0,37.0,17.0,30.0,21.0
109,75.0,53.0,50.0,46.0,34.0,36.0,23.0,26.0,25.0
110,76.0,52.0,51.0,45.0,35.0,38.0,26.0,27.0,22.0
111,75.0,52.0,50.0,49.0,35.0,33.0,25.0,29.0,20.0
112,75.0,53.0,48.0,47.0,35.0,34.0,29.0,26.0,19.0
113,74.0,53.0,48.0,47.0,34.0,37.0,27.0,27.0,23.0
114,72.0,53.0,48.0,45.0,35.0,32.0,27.0,26.0,24.0
115,75.0,52.0,47.0,46.0,34.0,32.0,19.0,25.0,22.0
116,72.0,53.0,48.0,41.0,36.0,30.0,20.0,29.0,19.0
117,69.0,53.0,47.0,41.0,36.0,28.0,20.0,30.0,20.0
118,70.0,53.0,45.0,46.0,38.0,28.0,26.0,26.0,19.0
119,72.0,52.0,49.0,45.0,35.0,32.0,24.0,26.0,18.0
120,72.0,52.0,48.0,45.0,32.0,31.0,22.0,30.0,20.0
121,72.0,53.0,47.0,41.0,34.0,32.0,25.0,27.0,21.0
122,73.0,53.0,48.0,43.0,32.0,31.0,25.0,27.0,21.0
123,72.0,53.0,50.0,44.0,39.0,29.0,29.0,25.0,21.0
124,71.0,52.0,51.0,45.0,36.0,25.0,27.0,30.0,21.0
125,72.0,53.0,48.0,44.0,33.0,28.0,27.0,30.0,22.0
126,73.0,52.0,51.0,47.0,34.0,27.0,21.0,29.0,21.0
127,72.0,53.0,51.0,44.0,32.0,27.0,30.0,33.0,19.0
128,70.0,53.0,48.0,44.0,30.0,26.0,32.0,33.0,19.0
129,71.0,53.0,52.0,47.0,29.0,26.0,21.0,34.0,21.0
130,72.0,53.0,50.0,46.0,32.0,29.0,28.0,32.0,22.0
131,71.0,53.0,52.0,44.0,34.0,33.0,25.0,33.0,22.0
132,72.0,54.0,48.0,44.0,34.0,30.0,28.0,34.0,22.0
133,72.0,53.0,49.0,43.0,35.0,28.0,25.0,33.0,21.0
134,74.0,53.0,48.0,43.0,30.0,31.0,22.0,31.0,20.0
135,70.0,54.0,45.0,47.0,36.0,31.0,21.0,31.0,21.0
136,69.0,53.0,49.0,47.0,30.0,30.0,29.0,32.0,21.0
137,70.0,53.0,48.0,44.0,37.0,32.0,28.0,29.0,20.0
138,70.0,53.0,48.0,47.0,31.0,32.0,25.0,30.0,21.0
139,71.0,52.0,48.0,44.0,32.0,31.0,30.0,30.0,21.0
140,67.0,53.0,48.0,46.0,31.0,34.0,30.0,29.0,21.0
141,70.0,53.0,45.0,43.0,36.0,38.0,28.0,29.0,20.0
142,72.0,53.0,48.0,44.0,38.0,27.0,28.0,29.0,21.0
143,72.0,53.0,51.0,44.0,37.0,36.0,22.0,29.0,22.0
144,73.0,53.0,51.0,44.0,28.0,30.0,29.0,29.0,22.0
145,75.0,53.0,50.0,44.0,33.0,31.0,30.0,29.0,20.0
146,74.0,53.0,51.0,44.0,32.0,33.0,30.0,28.0,21.0
147,73.0,53.0,50.0,46.0,34.0,31.0,28.0,28.0,21.0
148,73.0,53.0,51.0,44.0,32.0,27.0,15.0,29.0,21.0
149,74.0,53.0,47.0,43.0,34.0,31.0,23.0,29.0,21.0
150,71.0,53.0,51.0,47.0,37.0,32.0,25.0,29.0,22.0
151,71.0,53.0,50.0,44.0,34.0,30.0,25.0,29.0,22.0
152,71.0,52.0,51.0,44.0,39.0,32.0,27.0,30.0,21.0
153,71.0,53.0,51.0,44.0,34.0,37.0,24.0,30.0,20.0
154,71.0,52.0,49.0,44.0,32.0,35.0,22.0,31.0,23.0
155,72.0,52.0,51.0,48.0,30.0,36.0,22.0,31.0,23.0
156,75.0,52.0,51.0,45.0,36.0,29.0,23.0,30.0,22.0
