TimeStep,Vehicle_ID,_X,_Y,_Angle,_Pos,_Speed,_Lane,_Slope
11.0,3,7071.7,13985.23,179.92,80.85,14.88,602247752_0,0.0
11.0,4,15187.69,15286.18,264.64,56.27,12.75,-803864266_0,0.0
11.0,5,13610.84,49.64,337.64,53.02,13.5,-288088612#6_0,0.0
11.0,6,20856.7,19619.31,226.95,30.93,9.19,-1002123620#6_0,0.0
11.0,7,10546.01,12198.71,177.41,25.93,8.63,288088612#5_0,0.0
11.0,8,6558.83,10140.13,132.02,16.2,5.79,-288088613#0_0,0.0
11.0,9,24157.69,13384.84,254.4,10.8,3.82,347355525#0_0,0.0
12.0,0,10090.52,16718.24,166.07,149.4,17.06,288088612#0_0,0.0
12.0,1,7168.55,13303.26,232.86,130.28,19.66,-347355524#0_0,0.0
12.0,10,24163.18,13386.37,254.4,5.1,0.0,347355525#0_0,0.0
12.0,11,9419.45,17462.2,90.76,7.62,2.52,-347355525#6_0,0.0
12.0,12,9401.93,17451.62,186.54,5.1,0.0,803874779#0_0,0.0
12.0,2,561.1,10039.64,64.22,111.19,19.02,347355524#0_0,0.0
12.0,3,7071.73,13970.46,179.92,95.62,14.77,602247752_0,0.0
12.0,4,15174.02,15284.31,262.18,70.06,13.8,-803864266_0,0.0
12.0,5,13605.99,61.57,338.24,65.9,12.88,-288088612#6_0,0.0
12.0,6,20848.39,19611.55,226.95,42.29,11.36,-1002123620#6_0,0.0
12.0,7,10546.47,12188.67,177.41,35.98,10.05,288088612#5_0,0.0
12.0,8,6564.44,10135.07,132.02,23.75,7.55,-288088613#0_0,0.0
12.0,9,24151.67,13383.15,254.4,17.05,6.25,347355525#0_0,0.0
13.0,0,10094.41,16702.18,166.69,165.92,16.52,288088612#0_0,0.0
13.0,1,7152.61,13291.19,232.86,150.27,19.99,-347355524#0_0,0.0
13.0,10,24161.43,13385.88,254.4,6.91,1.81,347355525#0_0,0.0
13.0,11,9423.6,17462.14,90.76,11.77,4.15,-347355525#6_0,0.0
13.0,12,9401.73,17449.91,186.54,6.83,1.73,803874779#0_0,0.0
13.0,13,8845.03,11724.08,257.5,5.1,0.0,-229938465#2_0,0.0
13.0,2,579.77,10048.66,64.22,131.92,20.73,347355524#0_0,0.0
13.0,3,7071.75,13955.69,179.92,110.39,14.77,602247752_0,0.0
13.0,4,15160.35,15281.97,260.26,83.94,13.87,-803864266_0,0.0
13.0,5,13600.89,74.4,338.3,79.71,13.81,-288088612#6_0,0.0
13.0,6,20838.28,19602.1,226.95,56.14,13.84,-1002123620#6_0,0.0
13.0,7,10546.99,12177.22,177.41,47.44,11.46,288088612#5_0,0.0
13.0,8,6571.59,10128.63,132.02,33.37,9.62,-288088613#0_0,0.0
13.0,9,24143.93,13380.99,254.4,25.09,8.04,347355525#0_0,0.0
14.0,0,10098.45,16685.11,166.69,183.46,17.54,288088612#0_0,0.0
14.0,1,7136.0,13278.61,232.86,171.11,20.84,-347355524#0_0,0.0
14.0,10,24157.28,13384.72,254.4,11.23,4.31,347355525#0_0,0.0
14.0,11,9429.3,17462.07,90.76,17.47,5.7,-347355525#6_0,0.0
14.0,12,9401.27,17445.92,186.54,10.84,4.01,803874779#0_0,0.0
14.0,13,8843.4,11723.72,257.5,6.77,1.67,-229938465#2_0,0.0
14.0,14,12071.01,16648.4,287.63,5.1,0.0,347355525#6_0,0.0
14.0,2,599.87,10058.37,64.22,154.25,22.32,347355524#0_0,0.0
14.0,3,7071.77,13941.95,179.92,124.13,13.74,602247752_0,0.0
14.0,4,15147.3,15277.87,252.19,97.62,13.68,-803864266_0,0.0
14.0,5,13595.89,86.95,338.3,93.21,13.5,-288088612#6_0,0.0
